,,,A,B,C,D,,,,,
#,Section Number,"Weight
Per/Foot","Depth of
Section","Flange
Width","Flange
Thickness","Web
Thickness",Length,Total Pounds,Current Cost per Foot,Total Price,NOTES:
,,lb.,in.,in.,in.,in.,ft.,lb.,$,$,
155,,122,21.68,12.390,0.960,0.600,,0,$1.90,$0.00,
156,,132,21.83,12.440,1.035,0.650,,0,$1.90,$0.00,
157,,147,22.06,12.510,1.150,0.720,,0,$1.90,$0.00,
158,,166,22.48,12.420,1.360,0.750,,0,$1.90,$0.00,
159,,182,22.72,12.500,1.480,0.830,,0,$1.90,$0.00,
160,,201,23.03,12.560,1.630,0.910,,0,$1.90,$0.00,
161,,223,23.35,12.680,1.790,1.000,,0,$1.90,$0.00,
162,,248,23.74,12.775,1.990,1.110,,0,$1.90,$0.00,
163,,275,24.13,12.890,2.190,1.220,,0,$1.90,$0.00,
164,W24,55,23.57,7.005,0.505,0.395,,0,$0.92,$0.00,
165,,62,23.74,7.040,0.590,0.430,,0,$0.92,$0.00,
,,,,,,,,0,$0.92,$0.00,
166,W24,56,23.48,8.900,0.460,0.355,,0,$0.92,$0.00,
167,,61,23.56,8.930,0.500,0.380,,0,$0.92,$0.00,
168,,68,23.73,8.965,0.585,0.415,,0,$0.92,$0.00,
169,,76,23.92,8.990,0.680,0.440,,0,$0.92,$0.00,
170,,84,24.10,9.200,0.770,0.470,,0,$0.92,$0.00,
171,,94,24.31,9.065,0.875,0.515,,0,$1.90,$0.00,
172,,103,24.53,9.000,0.980,0.550,,0,$1.90,$0.00,
173,W24,104,24.06,12.750,0.750,0.500,,0,$1.90,$0.00,
174,,117,24.26,12.800,0.850,0.550,,0,$1.90,$0.00,
175,,131,24.48,12.855,0.960,0.605,,0,$1.90,$0.00,
176,,146,24.74,12.900,1.090,0.650,,0,$1.90,$0.00,
177,,162,25.00,12.995,1.220,0.705,,0,$1.90,$0.00,
178,,176,25.24,12.890,1.340,0.750,,0,$1.90,$0.00,
179,,192,25.47,12.950,1.460,0.810,,0,$1.90,$0.00,
180,,207,25.71,13.010,1.570,0.870,,0,$1.90,$0.00,
181,,229,26.02,13.110,1.730,0.960,,0,$1.90,$0.00,
182,,250,26.34,13.185,1.890,1.040,,0,$1.90,$0.00,
