#,Item #,Angle Type,Size A,Size B,Size C,Available Length(s),,,Estimated Lbs. Per Ft.,For 20ft Length,For 40ft Length,Length,Total Pounds,Current Cost per Lbs.,Total Price,NOTES:
,Item #,Type,Size A,Size B,Size C,Available Lengths,As Fraction,As Decimal,Estimated Pounds Per Foot,For 20ft Length,For 40ft Length,ft.,lb.,$,$,
91,LS531258,Structural Size Standard,5 in,3 1/2 in,5/8 in,Up to 60 ft,5/8,0.6250,,,,,0.00,$1.25,$0.00,
92,LS531234,Structural Size Standard,5 in,3 1/2 in,3/4 in,Up to 60 ft,3/4,0.7500,,,,,0.00,$1.25,$0.00,
93,LS5516,Structural Size Standard,5 in,5 in,5/16 in,Up to 60 ft,5/16,0.3125,10.3,206,412,,0.00,$0.95,$0.00,
94,LS538,Structural Size Standard,5 in,5 in,3/8 in,Up to 60 ft,3/8,0.3750,12.3,246,492,,0.00,$1.00,$0.00,
95,LS5716,Structural Size Standard,5 in,5 in,7/16 in,Up to 60 ft,7/16,0.4375,14.3,286,572,,0.00,$1.10,$0.00,
96,LS512,Structural Size Standard,5 in,5 in,1/2 in,Up to 60 ft,1/2,0.5000,16.2,324,648,,0.00,$1.25,$0.00,
97,LS558,Structural Size Standard,5 in,5 in,5/8 in,Up to 60 ft,5/8,0.6250,20,400,800,,0.00,$1.25,$0.00,
98,LS534,Structural Size Standard,5 in,5 in,3/4 in,Up to 60 ft,3/4,0.7500,23.6,472,944,,0.00,$1.25,$0.00,
99,LS578,Structural Size Standard,5 in,5 in,7/8 in,Up to 60 ft,7/8,0.8750,27.2,544,1088,,0.00,$1.25,$0.00,
100,LS6312516,Structural Size Standard,6 in,3 1/2 in,5/16 in,Up to 60 ft,5/16,0.3125,9.8,196,392,,0.00,$0.95,$0.00,
101,LS631238,Structural Size Standard,6 in,3 1/2 in,3/8 in,Up to 60 ft,3/8,0.3750,11.7,234,468,,0.00,$1.00,$0.00,
102,LS631212,Structural Size Standard,6 in,3 1/2 in,1/2 in,Up to 60 ft,1/2,0.5000,15.3,306,312,,0.00,$1.25,$0.00,
103,LS64516,Structural Size Standard,6 in,4 in,5/16 in,Up to 60 ft,5/16,0.3125,10.3,206,412,,0.00,$0.85,$0.00,
104,LS6438,Structural Size Standard,6 in,4 in,3/8 in,Up to 60 ft,3/8,0.3750,12.3,246,492,,0.00,$1.00,$0.00,
105,LS64716,Structural Size Standard,6 in,4 in,7/16 in,Up to 60 ft,7/16,0.4375,14.3,286,572,,0.00,$1.10,$0.00,
106,LS6412,Structural Size Standard,6 in,4 in,1/2 in,Up to 60 ft,1/2,0.5000,16.2,324,648,,0.00,$1.25,$0.00,
107,LS6458,Structural Size Standard,6 in,4 in,5/8 in,Up to 60 ft,5/8,0.6250,20,400,800,,0.00,$1.25,$0.00,
108,LS6434,Structural Size Standard,6 in,4 in,3/4 in,Up to 60 ft,3/4,0.7500,23.6,472,944,,0.00,$1.25,$0.00,
