#,Item #,Type,Materials,Width,Height,Average Wall Thickness,,Weight Per Ft. in Lbs.,Length,Total Pounds,Current Cost per Lbs.,Total Price,NOTES:,,,,
,Item #,Type,Materials,Width,Height,Gauge,Decimal,Weight Per Foot,ft.,lb.,$,$,,,,,
218,TR5646,Rectangle Tube,Carbon Steel,5 in,3 in,1/8 in,1.250,6.46,,0.000,$0.95,$0.00,,,,,
219,TR5942,Rectangle Tube,Carbon Steel,5 in,3 in,3/16 in,1.880,9.42,,0.000,$0.95,$0.00,,,,,
220,TR51221,Rectangle Tube,Carbon Steel,5 in,3 in,1/4 in,0.250,12.21,,0.000,$0.95,$0.00,,,,,
221,TR51483,Rectangle Tube,Carbon Steel,5 in,3 in,5/16 in,0.313,14.83,,0.000,$0.95,$0.00,,,,,
222,TR51727,Rectangle Tube,Carbon Steel,5 in,3 in,3/8 in,0.357,17.27,,0.000,$0.95,$0.00,,,,,
223,TR52163,Rectangle Tube,Carbon Steel,5 in,3 in,1/2 in,0.500,21.63,,0.000,$0.95,$0.00,,,,,
224,TR52526,Rectangle Tube,Carbon Steel,5 in,3 in,5/8 in,0.625,25.26,,0.000,$0.95,$0.00,,,,,
225,TR5731,Rectangle Tube,Carbon Steel,5 in,4 in,1/8 in,0.125,7.31,,0.000,$0.95,$0.00,,,,,
226,TR51070,Rectangle Tube,Carbon Steel,5 in,4 in,3/16 in,0.188,10.70,,0.000,$0.95,$0.00,,,,,
227,TR51391,Rectangle Tube,Carbon Steel,5 in,4 in,1/4 in,0.250,13.91,,0.000,$0.95,$0.00,,,,,
228,TR51696,Rectangle Tube,Carbon Steel,5 in,4 in,5/16 in,0.313,16.96,,0.000,$0.95,$0.00,,,,,
229,TR51982,Rectangle Tube,Carbon Steel,5 in,4 in,3/8 in,0.375,19.82,,0.000,$0.95,$0.00,,,,,
230,TR52503,Rectangle Tube,Carbon Steel,5 in,4 in,1/2 in,0.500,25.03,,0.000,$0.95,$0.00,,,,,
