#,Item #,Pipe Size,Schedule,Outer Diameter,Wall Thickness,Weight Per Ft. in Lbs.,Length,Total Pounds,Current Cost per Lbs.,Total Price,NOTES:,
,Item #,Pipe Size,Schedule,Outer Diameter,Wall Thickness,Weight Per Foot,ft.,lb.,$,$,,
160,TP2230,22 in,30 Ex Hvy,22.000 in,0.500 in,114.800,,0.000,,$0.00,,
161,TP2260,22 in,60,22.000 in,0.875 in,197.400,,0.000,,$0.00,,
162,TP2280,22 in,80,22.000 in,1.125 in,250.800,,0.000,,$0.00,,
163,TP22100,22 in,100,22.000 in,1.375 in,302.900,,0.000,,$0.00,,
164,TP22120,22 in,120,22.000 in,1.625 in,353.600,,0.000,,$0.00,,
165,TP22140,22 in,140,22.000 in,1.875 in,403.000,,0.000,,$0.00,,
166,TP22160,22 in,160,22.000 in,2.125 in,451.100,,0.000,,$0.00,,
167,TP2410,24 in,10,24.000 in,0.250 in,63.410,,0.000,,$0.00,,
168,TP2420STD,24 in,20 STD,24.000 in,0.375 in,94.710,,0.000,,$0.00,,
169,TP2420,24 in,20 Ex Hvy,24.000 in,0.500 in,125.500,,0.000,,$0.00,,
170,TP2430,24 in,30,24.000 in,0.500 in,125.610,,0.000,,$0.00,,
171,TP2440,24 in,40,24.000 in,0.625 in,156.180,,0.000,,$0.00,,
172,TP24-NSW,24 in,Non-scheduled wall,24.000 in,0.750 in,186.410,,0.000,,$0.00,,
173,TP24-NSW,24 in,Non-scheduled wall,24.000 in,0.875 in,216.310,,0.000,,$0.00,,
174,TP2460,24 in,60,24.000 in,1.000 in,245.870,,0.000,,$0.00,,
175,TP2480,24 in,80,24.000 in,1.218 in,296.400,,0.000,,$0.00,,
176,TP24100,24 in,100,24.000 in,1.531 in,367.400,,0.000,,$0.00,,
177,TP24120,24 in,120,24.000 in,1.812 in,429.400,,0.000,,$0.00,,
178,TP24140,24 in,140,24.000 in,2.062 in,483.100,,0.000,,$0.00,,
179,TP28E.H.,28 in,E.H.,28.00 in,0.500 in,146.990,,0.000,,$0.00,,
180,TP28-NSW,28 in,Non-scheduled wall,28.00 in,1.000 in,288.630,,0.000,,$0.00,,
181,TP28-NSW,28 in,Non-scheduled wall,28.00 in,0.875 in,253.720,,0.000,,$0.00,,
182,TP28-NSW,28 in,Non-scheduled wall,28.00 in,0.750 in,218.480,,0.000,,$0.00,,
183,TP18STD,18 in,Std,18.000 in,0.375 in,70.590,,0.000,,$0.00,,
184,TP16XH,16 in,XH,16.000 in,0.500 in,82.770,,0.000,,$0.00,,
185,TP140,1 in,40 STD,1.315 in,0.133 in,1.679,,0.000,,$0.00,,
186,TP11440,1 1/4 in,40 STD,1.660 in,0.140 in,2.273,,0.000,,$0.00,,
187,TP20XH,20 in,XH,20.000 in,0.500 in,104.100,,0.000,,$0.00,,
188,TP11240,1 1/2 in,40 STD,1.900 in,0.145 in,2.718,,0.000,,$0.00,,
189,TP28-NSW,28 in,Non-scheduled wall,28.00 in,0.625 in,182.900,,0.000,,$0.00,,
190,TP18XH,18 in,XH,18.000 in,0.500 in,93.450,,0.000,,$0.00,,
191,TP20STD,20 in,Std,20.000 in,0.375 in,78.600,,0.000,,$0.00,,
192,TP3440,3/4 in,40 STD,1.050 in,0.113 in,1.130,,0.000,,$0.00,,
193,TP14XH,14 in,XH,14.000 in,0.500 in,72.090,,0.000,,$0.00,,
194,TP2030,20 in,30 STD,20.000 in,0.375 in,54.570,,0.000,,$0.00,,
195,TP1820,18 in,20 STD,18.000 in,0.375 in,78.600,,0.000,,$0.00,,
196,TP1430,14 in,30 STD,14.000 in,0.375 in,62.580,,0.000,,$0.00,,
197,TP340,3 in,40 STD,3.500 in,0.216 in,7.596,,0.000,$1.10,$0.00,,1.1
198,TP2220,22 in,20 STD,22.000 in,0.375 in,86.610,,0.000,,$0.00,,
199,TP31240,3 1/2 in,40 STD,4.000 in,0.226 in,9.109,,0.000,$1.10,$0.00,,1.1
200,TP440,4 in,40 STD,4.500 in,0.237 in,10.790,,0.000,$1.10,$0.00,,1.1
